< "/* compute x! */" , COMMENT >
< "
" , BLANK >
< "int" , RESERVED_WORD >
< " " , BLANK >
< "factorial" , ID >
< "(" , SPECIAL_SYMBOL >
< "int" , RESERVED_WORD >
< " " , BLANK >
< "x" , ID >
< ")" , SPECIAL_SYMBOL >
< "
" , BLANK >
< "{" , SPECIAL_SYMBOL >
< "
	" , BLANK >
< "int" , RESERVED_WORD >
< " " , BLANK >
< "fac" , ID >
< " " , BLANK >
< "=" , SPECIAL_SYMBOL >
< " " , BLANK >
< "1" , NUM >
< ";" , SPECIAL_SYMBOL >
< "
    " , BLANK >
< "fac" , ID >
< " " , BLANK >
< "=" , SPECIAL_SYMBOL >
< " " , BLANK >
< "1" , NUM >
< ";" , SPECIAL_SYMBOL >
< "
	" , BLANK >
< "if" , RESERVED_WORD >
< "(" , SPECIAL_SYMBOL >
< "x" , ID >
< " " , BLANK >
< "<" , SPECIAL_SYMBOL, LT >
< " " , BLANK >
< "0" , NUM >
< ")" , SPECIAL_SYMBOL >
< "
    " , BLANK >
< "{" , SPECIAL_SYMBOL >
< "	" , BLANK >
< "return" , RESERVED_WORD >
< " " , BLANK >
< "1" , NUM >
< ";" , SPECIAL_SYMBOL >
< " " , BLANK >
< "}" , SPECIAL_SYMBOL >
< "
    " , BLANK >
< "if" , RESERVED_WORD >
< "(" , SPECIAL_SYMBOL >
< "x" , ID >
< " " , BLANK >
< "=" , SPECIAL_SYMBOL >
< " " , BLANK >
< "0" , NUM >
< ")" , SPECIAL_SYMBOL >
< "
    " , BLANK >
< "{" , SPECIAL_SYMBOL >
< "
    	" , BLANK >
< "return" , RESERVED_WORD >
< " " , BLANK >
< "1" , NUM >
< ";" , SPECIAL_SYMBOL >
< "
    " , BLANK >
< "}" , SPECIAL_SYMBOL >
< "
    " , BLANK >
< "else" , RESERVED_WORD >
< "
    " , BLANK >
< "{" , SPECIAL_SYMBOL >
< "
		" , BLANK >
< "while" , RESERVED_WORD >
< " " , BLANK >
< "(" , SPECIAL_SYMBOL >
< "x" , ID >
< " " , BLANK >
< ">" , SPECIAL_SYMBOL, GT >
< " " , BLANK >
< "0" , NUM >
< ")" , SPECIAL_SYMBOL >
< "
    	" , BLANK >
< "{" , SPECIAL_SYMBOL >
< " 
    		" , BLANK >
< "fac" , ID >
< " " , BLANK >
< "=" , SPECIAL_SYMBOL >
< " " , BLANK >
< "fac" , ID >
< " " , BLANK >
< "*" , SPECIAL_SYMBOL >
< " " , BLANK >
< "x" , ID >
< ";" , SPECIAL_SYMBOL >
< "
        	" , BLANK >
< "x" , ID >
< " " , BLANK >
< "=" , SPECIAL_SYMBOL >
< " " , BLANK >
< "x" , ID >
< " " , BLANK >
< "-" , SPECIAL_SYMBOL >
< " " , BLANK >
< "1" , NUM >
< ";" , SPECIAL_SYMBOL >
< "
    	" , BLANK >
< "}" , SPECIAL_SYMBOL >
< "
    	" , BLANK >
< "return" , RESERVED_WORD >
< " " , BLANK >
< "fac" , ID >
< ";" , SPECIAL_SYMBOL >
< "
    " , BLANK >
< "}" , SPECIAL_SYMBOL >
< "

" , BLANK >
< "void" , RESERVED_WORD >
< " " , BLANK >
< "main" , ID >
< "(" , SPECIAL_SYMBOL >
< "void" , RESERVED_WORD >
< ")" , SPECIAL_SYMBOL >
< "
" , BLANK >
< "{" , SPECIAL_SYMBOL >
< "	
    " , BLANK >
< "int" , RESERVED_WORD >
< " " , BLANK >
< "x" , ID >
< ";" , SPECIAL_SYMBOL >
< "
    " , BLANK >
< "x" , ID >
< " " , BLANK >
< "=" , SPECIAL_SYMBOL >
< " " , BLANK >
< "input" , ID >
< ";" , SPECIAL_SYMBOL >
< "
    " , BLANK >
< "xFac" , ID >
< " " , BLANK >
